date,Area_A_SSTA,Area_B_SSTA,Area_A_SSHA,Area_B_SSHA,SCSI,PC2
1993-01,300.4175018655966,298.12290763740714,0.13586660777385157,-0.13966544190665342,1.332788551400141,-1.225137086271533
1993-02,300.2212689673123,297.29673512574533,0.041442093639575975,-0.1636766633565045,0.9802786466567938,-2.155945161800644
1993-03,300.94902891161985,298.5151496623851,0.010232243816254417,-0.145071002979146,0.7308873728488108,-2.202042365959189
1993-04,302.55060491093667,300.456694454566,-0.025373189045936398,-0.1310224428997021,0.4823047025222138,-2.3253631492114475
1993-05,303.6752720067779,302.85099574211233,-0.10411086572438162,-0.06454637537239324,-0.2446785301297976,-2.249132393127275
1993-06,303.5259584656568,303.13812065490634,-0.17670918727915197,0.030634359483614697,-1.0846304332223053,-1.8448945111254955
1993-07,302.7205409369017,303.0884475491776,-0.17510362190812723,0.06577030784508442,-1.2524935122426715,-1.4868413319853675
1993-08,302.4912423756934,302.6622106959464,-0.1473404593639576,0.06487706057596822,-1.1090309938962994,-1.2915353116042407
1993-09,302.15954077797886,301.9513144904091,-0.09851276501766784,0.041958689175769615,-0.7498488304466562,-1.1584155248801302
1993-10,302.2539353364646,301.26335074306115,0.04582950530035336,0.03331787487586892,0.01603003318921529,-0.18239478059278963
1993-11,301.9035967552773,299.9970020905565,0.13775618374558304,-0.0612411122144985,0.9496327903926766,-0.4384078388868177
1993-12,300.86775875485836,299.11366876404094,0.19508034452296819,-0.10323247269116188,1.44683585535522,-0.43077989951503753
1994-01,300.75617787809506,298.261207489022,0.11103652826855126,-0.15698699106256206,1.2951986132319453,-1.5783785948544806
1994-02,301.2054350552222,298.60344154439366,0.017378180212014135,-0.16689960278053625,0.875942526576898,-2.3646183488534493
1994-03,301.53772687367143,299.4401367969905,0.08130366607773852,-0.08511271102284013,0.7865230114609125,-1.0886783411112935
1994-04,302.79096287027295,300.9533714327638,-0.030065856890459368,-0.04264716981132076,0.01637888451009028,-1.4889628913555617
1994-05,303.2092417719402,303.0834654532208,-0.12527884275618376,-0.0004350546176762683,-0.6716120819242741,-1.772965585179536
